"categoria";"total_acidentes";"acidentes_fatais";"cobertura_perc";"perc_fatais";"lift"
"Atropelamento de Animal";"1133";"68";"1.56";"6";"0.84"
"Atropelamento de Pedestre";"3057";"902";"4.22";"29.51";"4.11"
"Capotamento";"1373";"63";"1.89";"4.59";"0.64"
"Colis�o com objeto";"5109";"297";"7.04";"5.81";"0.81"
"Colis�o frontal";"4739";"1396";"6.53";"29.46";"4.1"
"Colis�o lateral mesmo sentido";"7885";"212";"10.87";"2.69";"0.37"
"Colis�o lateral sentido oposto";"2152";"212";"2.97";"9.85";"1.37"
"Colis�o transversal";"9306";"427";"12.83";"4.59";"0.64"
"Colis�o traseira";"14360";"619";"19.8";"4.31";"0.6"
"Derramamento de carga";"107";"3";"0.15";"2.8";"0.39"
"Engavetamento";"1233";"28";"1.7";"2.27";"0.32"
"Eventos at�picos";"287";"23";"0.4";"8.01";"1.12"
"Inc�ndio";"1771";"0";"2.44";"0";"0"
"Queda de ocupante de ve�culo";"3450";"87";"4.76";"2.52";"0.35"
"Sa�da de leito carro��vel";"10209";"605";"14.08";"5.93";"0.82"
"Tombamento";"6351";"268";"8.76";"4.22";"0.59"
